夜市名稱,調味名稱,攤位,攤商名稱,品牌,來源(產地)
臨江街觀光夜市,鹽,臨江街83號旁,寶素齋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,臨江街81號右側巷內,蔡蚵嗲,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,香油,臨江街81號右側巷內,蔡蚵嗲,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
臨江街觀光夜市,糖,臨江街81號右側巷內,蔡蚵嗲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街81號右側巷內,蔡蚵嗲,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,臨江街81號右側巷內,蔡蚵嗲,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,醬油,通化街70號側邊,碳烤串燒,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,通化街70號側邊,碳烤串燒,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,甜辣醬,臨江街2號店前,芝麻園,三豐食品工廠,新北市新莊區化成路100號
臨江街觀光夜市,辣椒粉,臨江街2號店前,芝麻園,環球食品商行,嘉義縣民雄鄉興中村義橋1號之4
臨江街觀光夜市,醬油,臨江街2號店前,芝麻園,雙美人牌,台北市大同區環河北路一段331號
臨江街觀光夜市,沙拉油,臨江街2號店前,上海生煎包鍋貼,泰山企業股份有限公司,彰化縣田中鎮興工路6號
臨江街觀光夜市,鹽,臨江街2號店前,上海生煎包鍋貼,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,胡椒粉,臨江街7號店前,起司輪馬鈴薯,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
臨江街觀光夜市,鹽,臨江街7號店前,起司輪馬鈴薯,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,臨江街1號店前,咖哩王子,泰山企業股份有限公司,彰化縣田中鎮興工路6號
臨江街觀光夜市,糖,臨江街1號店前,咖哩王子,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,臨江街1號店前,咖哩王子,統萬股份有限公司,台南市東區中華東路二段193號18樓之12
臨江街觀光夜市,鹽,臨江街1號店前,咖哩王子,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,糖,臨江街92之1號前,九龍茶鋪,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
