調味名稱,攤位,攤商名稱,品牌,來源(產地),夜市名稱,_id
味精,179,馬家莊便當,味王股份有限公司,台北市中山區聚盛里中山北路2段79號5樓,華西街觀光夜市,536
糖,179,馬家莊便當,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,華西街觀光夜市,537
鹽,179,馬家莊便當,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,華西街觀光夜市,538
沙拉油,士林市場地下1樓 56,長記林大餅包小餅,福壽實業股份有限公司,台中市沙鹿區沙田路45號,士林觀光夜市,539
豬油,士林市場地下1樓 56,長記林大餅包小餅,美食家食材通路股份有限公司,台南市安平區永華路二段373號,士林觀光夜市,540
糖,士林市場地下1樓 56,長記林大餅包小餅,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,士林觀光夜市,541
鹽,士林市場地下1樓 56,長記林大餅包小餅,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,士林觀光夜市,542
味素,181,通記陽春麵,味丹企業股份有限公司,台中市沙鹿區興安路65號,華西街觀光夜市,543
油蔥酥,181,通記陽春麵,自製,台灣,華西街觀光夜市,544
豬油,181,通記陽春麵,自製,台灣,華西街觀光夜市,545
醬油,181,通記陽春麵,味全食品工業股份有限公司,台北市中山區松江路125號,華西街觀光夜市,546
醬油膏,181,通記陽春麵,雙美人醬油,台北市大同區環河北路一段331號,華西街觀光夜市,547
鹽,181,通記陽春麵,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,華西街觀光夜市,548
可果美番茄醬,士林市場地下1樓 74-77,341牛排店,臺灣可果美股份有限公司,台南市善化區小新營394號,士林觀光夜市,549
沙拉油,士林市場地下1樓 74-77,341牛排店,福壽實業股份有限公司,台中市沙鹿區沙田路45號,士林觀光夜市,550
味精,士林市場地下1樓 74-77,341牛排店,味丹企業股份有限公司,台中市沙鹿區興安路65號,士林觀光夜市,551
香油,士林市場地下1樓 74-77,341牛排店,龍昇食品行,台北市士林區社中街6號1樓,士林觀光夜市,552
粗粒黑楜椒,士林市場地下1樓 74-77,341牛排店,祥鶴,台北市大同區民生西路403號,士林觀光夜市,553
番茄醬,士林市場地下1樓 74-77,341牛排店,臺灣可果美股份有限公司,台南市善化區小新營394號,士林觀光夜市,554
糖,士林市場地下1樓 74-77,341牛排店,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,士林觀光夜市,555
咖哩粉,17,蛋蛋屋,老公仔標,臺北市北投區立德路121巷18號,寧夏觀光夜市,2653
醬油,士林市場地下1樓 74-77,341牛排店,金蘭食品股份有限公司,桃園市大溪區介壽路236號,士林觀光夜市,556
鹽,士林市場地下1樓 74-77,341牛排店,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,士林觀光夜市,557
沙拉油,士林市場地下1樓 033、034、073、074、075號,士林好記,美食家食材通路股份有限公司,台南市安平區永華路二段373號,士林觀光夜市,558
味精,士林市場地下1樓 033、034、073、074、075號,士林好記,味丹企業股份有限公司,台中市沙鹿區興安路65號,士林觀光夜市,559
香油,士林市場地下1樓 033、034、073、074、075號,士林好記,信成油廠股份有限公司,台北市大同區民生西路96號,士林觀光夜市,560
糖,士林市場地下1樓 033、034、073、074、075號,士林好記,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,士林觀光夜市,561
醬油,士林市場地下1樓 033、034、073、074、075號,士林好記,金蘭食品股份有限公司,桃園市大溪區介壽路236號,士林觀光夜市,562
鹽,士林市場地下1樓 033、034、073、074、075號,士林好記,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,士林觀光夜市,563
沙拉油,遼寧街中興中學旁,綜合蝦仁蚵仔煎,大成長城企業股份有限公司,台南市永康區蔦松二街3號,遼寧街夜市,564
沙茶醬,遼寧街中興中學旁,綜合蝦仁蚵仔煎,好帝一食品有限公司,台南市新市區大營里豐榮160號,遼寧街夜市,565
味精,遼寧街中興中學旁,綜合蝦仁蚵仔煎,味全食品工業股份有限公司,台北市中山區松江路125號,遼寧街夜市,566
香油,遼寧街中興中學旁,綜合蝦仁蚵仔煎,信成油廠股份有限公司,台北市大同區民生西路96號,遼寧街夜市,567
糖,遼寧街中興中學旁,綜合蝦仁蚵仔煎,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,遼寧街夜市,568
醬油,遼寧街中興中學旁,綜合蝦仁蚵仔煎,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,遼寧街夜市,569
鹽,遼寧街中興中學旁,綜合蝦仁蚵仔煎,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,遼寧街夜市,570
工研咖哩,遼寧街夜市,滑嫩嫩蛋屋,大安工研食品工廠股份有限公司,台北市大安區忠孝東路3段10巷1號,遼寧街夜市,571
沙拉油,遼寧街夜市,滑嫩嫩蛋屋,美食家食材通路股份有限公司,台南市安平區永華路二段373號,遼寧街夜市,572
糖,遼寧街夜市,滑嫩嫩蛋屋,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,遼寧街夜市,573
